Loading data/spectrograms_all_training.npz ...
  (352872, 121, 104)  loaded in 6.8s
  Split: train=296,924  val=26,929  test=29,019
  AE params: 3,409,953  latent_dim=32  flat=24960
/Users/oboulais/Public/Bowhead_DL_Project/venv_bowhead/lib/python3.9/site-packages/torch/utils/data/dataloader.py:684: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, then device pinned memory won't be used.
  warnings.warn(warn_msg)
  [ ] epoch  72  train=0.00306  val=0.00280  lr=6.25e-05  no_improve=3
  [ ] epoch  73  train=0.00306  val=0.00280  lr=3.13e-05  no_improve=4
  [ ] epoch  74  train=0.00306  val=0.00280  lr=3.13e-05  no_improve=5
  [ ] epoch  75  train=0.00306  val=0.00280  lr=3.13e-05  no_improve=6
  [ ] epoch  76  train=0.00306  val=0.00280  lr=3.13e-05  no_improve=7
  [ ] epoch  77  train=0.00306  val=0.00280  lr=3.13e-05  no_improve=8
  [ ] epoch  78  train=0.00306  val=0.00280  lr=3.13e-05  no_improve=9
  [ ] epoch  79  train=0.00306  val=0.00280  lr=1.56e-05  no_improve=10
Early stop at epoch 79 (patience=10)

Best checkpoint: runs/ae_full/autoencoder_clean.pt
  best_epoch=1  best_val_loss=0.002800
