0.349846	-0.434249	0.000000
-0.178396	-0.515037	0.000000
0.503483	0.337257	0.000000
0.147669	0.408069	0.000000
-0.574869	0.677925	0.000000
0.470083	0.503149	0.000000
-0.009333	0.467320	0.000000
-0.660574	0.565535	0.000000
-0.358531	0.487919	0.000000
-0.382539	-0.819325	0.000000
-0.362417	-0.138150	0.000000
0.372061	0.414416	0.000000
-0.426276	-0.359273	0.000000
0.489601	0.526590	0.000000
0.248227	-0.540114	0.000000
0.581900	-0.308574	0.000000
-0.581895	0.843991	0.000000
0.349120	0.396625	0.000000
-0.313381	0.541824	0.000000
-0.384488	0.665311	0.000000
-0.200726	0.495130	0.000000
0.089179	0.397830	0.000000
-0.196819	-0.054370	0.000000
0.324333	0.454084	0.000000
0.141882	-0.143755	0.000000
0.829791	-0.618597	0.000000
0.938505	0.815298	0.000000
-0.569392	0.732629	0.000000
0.612869	-0.668525	0.000000
-0.118333	0.484636	0.000000
0.902691	0.646507	0.000000
-0.522282	-0.158006	0.000000
0.149204	0.851397	0.000000
0.367749	0.482108	0.000000
0.604904	-0.618170	0.000000
0.358870	-0.133959	0.000000
0.106659	-0.208634	0.000000
0.825473	0.710951	0.000000
-0.122539	0.076657	0.000000
-0.493248	0.671721	0.000000
-0.869952	0.646375	0.000000
0.090380	0.746284	0.000000
0.761819	0.494548	0.000000
0.460718	0.252465	0.000000
-0.351816	-0.138843	0.000000
-0.280912	0.157658	0.000000
0.346494	0.953222	0.000000
-0.272150	0.630192	0.000000
-0.185213	0.684370	0.000000
0.439637	0.660907	0.000000
-0.256023	0.650064	0.000000
0.763179	0.751698	0.000000
0.109041	-0.119406	0.000000
0.648008	0.441136	0.000000
0.714892	-0.514874	0.000000
0.768825	0.332421	0.000000
0.176506	-0.550785	0.000000
0.603322	0.254552	0.000000
0.644944	0.375495	0.000000
0.754233	-0.357080	0.000000
0.059931	0.778470	0.000000
-0.175644	0.660024	0.000000
-0.132122	-0.541721	0.000000
-0.573893	-0.489747	0.000000
0.693860	0.732345	0.000000
-0.656649	0.833999	0.000000
-0.571949	0.785179	0.000000
0.078536	0.743109	0.000000
0.702696	0.599108	0.000000
0.451494	0.601315	0.000000
-0.433595	0.587337	0.000000
0.759782	0.238324	0.000000
-0.300491	0.547980	0.000000
0.127506	0.744255	0.000000
-0.744195	0.361396	0.000000
0.759673	0.436164	0.000000
-0.474899	0.581226	0.000000
0.629077	0.020852	0.000000
0.812595	0.603528	0.000000
0.395560	-0.107987	0.000000
-0.507287	0.759003	0.000000
0.258094	0.546642	0.000000
0.614649	-0.420183	0.000000
-0.807039	0.285053	0.000000
-0.774791	0.763937	0.000000
-0.599510	0.166447	0.000000
-0.604250	-0.883923	0.000000
-0.280614	-0.138187	0.000000
0.547568	0.394499	0.000000
0.514242	0.533948	0.000000
0.747922	0.720097	0.000000
-0.356570	-0.119066	0.000000
0.752034	0.395402	0.000000
0.106069	-0.272734	0.000000
-0.355971	0.635924	0.000000
-0.869148	0.340895	0.000000
0.244133	0.091987	0.000000
0.358864	0.230424	0.000000
0.482169	0.690342	0.000000
-0.658712	0.761410	0.000000
-0.408439	0.393377	0.000000
-0.982506	0.755664	0.000000
